"userId","groceryId","tag","timestamp"
18,4141,"high-fiber",2009-04-24 18:19:40
65,208,"low-sugar",2013-05-10 01:41:18
65,353,"low-sugar",2013-05-10 01:41:19
65,521,"low-sugar",2013-05-10 01:39:43
65,592,"low-sugar",2013-05-10 01:41:18
65,668,"high-fiber",2013-05-10 01:37:56
65,898,"high-fiber",2013-05-10 01:42:40
65,1248,"low-sugar",2013-05-10 01:39:43
65,1391,"high-fiber",2013-05-10 01:40:55
65,1617,"high-fiber",2013-05-10 01:43:37
65,1694,"low-sugar",2013-05-10 01:38:45
65,1783,"low-sugar",2013-05-10 01:39:43
65,2022,"low-sugar",2013-05-10 01:38:45
65,2193,"low-fat",2013-05-10 02:01:54
65,2353,"low-fat",2013-05-10 02:01:06
65,2662,"low-fat",2013-05-10 01:40:55
65,2726,"low-sugar",2013-05-10 01:39:43
65,2840,"low-sugar",2013-05-10 01:38:45
65,3052,"low-sugar",2013-05-10 01:38:46
65,5135,"high-fiber",2013-05-10 01:37:56
65,6539,"low-fat",2013-05-10 01:39:09
65,6874,"low-sugar",2013-05-10 01:41:19
65,7013,"low-sugar",2013-05-10 01:39:43
65,7318,"low-sugar",2013-05-10 01:38:45
65,8529,"low-fat",2013-05-10 01:40:12
65,8622,"low-fat",2013-05-10 02:01:06
65,27803,"low-fat",2011-05-10 06:25:15
65,27866,"low-sugar",2011-05-09 16:05:53
65,48082,"low-sugar",2011-05-09 16:25:54
65,48082,"low-sugar",2011-05-09 16:25:59
65,51884,"high-fiber",2013-05-10 01:37:56
65,58652,"low-sugar",2011-05-09 16:13:32
65,58652,"low-sugar",2011-05-09 16:13:28
65,58652,"low-sugar",2011-05-09 16:10:03
65,58652,"low-sugar",2011-05-09 16:09:48
96,106696,"high-fiber",2014-03-29 12:51:30
96,106696,"high-fiber",2014-03-29 12:51:37
96,106696,"high-fiber",2014-03-29 12:51:40
96,106696,"high-fiber",2014-03-29 12:51:32
96,106696,"high-fiber",2014-03-29 12:51:42
96,106696,"high-fiber",2014-03-29 12:51:45
96,106696,"low-sugar",2014-03-29 12:51:48
96,106696,"high-fiber",2014-03-29 12:51:49
96,106696,"low-sugar",2014-03-29 12:51:57
96,106696,"low-sugar",2014-03-29 12:52:10
96,106696,"high-fiber",2014-03-29 12:52:13
96,106696,"high-fiber",2014-03-29 12:52:17
96,106696,"low-sugar",2014-03-29 12:52:25
96,106696,"high-fiber",2014-03-29 12:51:20
96,106696,"high-fiber",2014-03-29 12:52:33
96,106696,"low-sugar",2014-03-29 12:52:38
121,778,"low-sugar",2011-03-23 04:00:46
121,778,"low-fat",2011-03-23 04:00:44
121,778,"low-fat",2011-03-23 04:00:39
121,778,"low-fat",2011-03-23 04:00:41
121,1288,"low-fat",2011-04-01 06:49:19
121,1288,"high-fiber",2011-04-01 06:48:26
121,1288,"high-fiber",2011-04-01 06:48:43
121,1288,"high-fiber",2011-04-01 06:48:15